V,e,E,time
10,1,10,23.6667
10,1.2,15,25.6667
10,1.4,25,29.3333
10,1.8,63,40
10,2,100,51.6667
20,1,20,79.3333
20,1.2,36,109.667
20,1.4,66,121.333
20,1.8,219,210.667
20,2,400,332.333
30,1,30,173.333
30,1.2,59,228.333
30,1.4,116,290.333
30,1.8,455,587.333
30,2,900,989
40,1,40,276.333
40,1.2,83,397.333
40,1.4,174,523
40,1.8,765,1253.33
40,2,1600,2259.33
50,1,50,473.333
50,1.2,109,656.667
50,1.4,239,856.333
50,1.8,1143,2235.67
50,2,2500,4381.67
100,1,100,1910
100,1.2,251,2739
100,1.4,630,3882.33
100,1.8,3981,14270.3
100,2,10000,32570
500,1,500,46022
500,1.2,1732,76744.3
500,1.4,6005,144966
500,1.8,72134,1.19569e+06
500,2,250000,3.98784e+06
1000,1,1000,185600
1000,1.2,3981,337165
1000,1.4,15848,721268
1000,1.8,251188,8.34165e+06
1000,2,1000000,3.26888e+07
5000,1,5000,5.00578e+06
5000,1.2,27464,1.04019e+07
5000,1.4,150854,3.26108e+07
